Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.150,0.80,Roulette,3000.87,0,3
2,0.150,0.80,Roulette,4000.69,0,4
3,0.150,0.80,Roulette,4000.69,0,4
4,0.150,0.80,Roulette,4000.69,0,4
5,0.150,0.80,Roulette,4000.76,0,4
6,0.150,0.80,Roulette,4000.88,0,4
7,0.150,0.80,Roulette,4000.88,0,4
8,0.150,0.80,Roulette,4000.88,0,4
9,0.150,0.80,Roulette,4000.88,0,4
10,0.150,0.80,Roulette,4000.88,0,4
11,0.150,0.80,Roulette,4000.88,0,3
12,0.150,0.80,Roulette,4000.88,0,2
13,0.150,0.80,Roulette,4000.88,0,4
14,0.150,0.80,Roulette,4000.88,0,3
15,0.150,0.80,Roulette,5000.76,0,5
16,0.150,0.80,Roulette,5000.76,0,4
17,0.150,0.80,Roulette,10000.63,0,10
18,0.150,0.80,Roulette,10000.63,0,4
19,0.150,0.80,Roulette,10000.63,0,4
20,0.150,0.80,Roulette,10000.75,0,10
21,0.150,0.80,Roulette,10000.75,0,9
22,0.150,0.80,Roulette,10000.75,0,8
23,0.150,0.80,Roulette,10000.76,0,10
24,0.150,0.80,Roulette,10000.76,0,9
25,0.150,0.80,Roulette,10000.76,0,9
26,0.150,0.80,Roulette,13000.73,0,13
27,0.150,0.80,Roulette,13000.73,0,10
28,0.150,0.80,Roulette,13000.73,0,10
29,0.150,0.80,Roulette,13000.73,0,10
30,0.150,0.80,Roulette,13000.73,0,10
31,0.150,0.80,Roulette,13000.81,0,13
32,0.150,0.80,Roulette,13000.81,0,10
33,0.150,0.80,Roulette,13000.81,0,10
34,0.150,0.80,Roulette,13000.81,0,10
35,0.150,0.80,Roulette,516000.00,3,16
36,0.150,0.80,Roulette,516000.00,1,16
37,0.150,0.80,Roulette,516000.00,0,10
38,0.150,0.80,Roulette,516000.00,18,16
39,0.150,0.80,Roulette,516000.00,5,16
40,0.150,0.80,Roulette,516000.00,0,10
41,0.150,0.80,Roulette,516000.00,18,16
42,0.150,0.80,Roulette,516000.00,2,16
43,0.150,0.80,Roulette,516000.00,4,16
44,0.150,0.80,Roulette,516000.00,26,16
45,0.150,0.80,Roulette,516000.00,1,16
46,0.150,0.80,Roulette,516000.00,20,16
47,0.150,0.80,Roulette,516000.00,32,16
48,0.150,0.80,Roulette,516000.00,6,16
49,0.150,0.80,Roulette,516000.00,20,16
50,0.150,0.80,Roulette,516000.00,28,16
51,0.150,0.80,Roulette,516000.00,8,16
52,0.150,0.80,Roulette,516000.00,22,16
53,0.150,0.80,Roulette,516000.00,28,16
54,0.150,0.80,Roulette,516000.00,10,16
55,0.150,0.80,Roulette,516000.00,19,16
56,0.150,0.80,Roulette,516000.00,28,16
57,0.150,0.80,Roulette,516000.00,7,16
58,0.150,0.80,Roulette,516000.00,25,16
59,0.150,0.80,Roulette,516000.00,16,16
60,0.150,0.80,Roulette,516000.00,10,16
61,0.150,0.80,Roulette,516000.00,20,16
62,0.150,0.80,Roulette,516000.00,26,16
63,0.150,0.80,Roulette,516000.00,6,16
64,0.150,0.80,Roulette,516000.00,28,16
65,0.150,0.80,Roulette,516000.00,27,16
66,0.150,0.80,Roulette,516000.00,6,16
67,0.150,0.80,Roulette,516000.00,28,16
68,0.150,0.80,Roulette,516000.00,24,16
69,0.150,0.80,Roulette,516000.00,8,16
70,0.150,0.80,Roulette,516000.00,22,16
71,0.150,0.80,Roulette,516000.00,21,16
72,0.150,0.80,Roulette,516000.00,5,16
73,0.150,0.80,Roulette,516000.00,29,16
74,0.150,0.80,Roulette,516000.00,24,16
75,0.150,0.80,Roulette,516000.00,7,16
76,0.150,0.80,Roulette,516000.00,30,16
77,0.150,0.80,Roulette,516000.00,21,16
78,0.150,0.80,Roulette,516000.00,11,16
79,0.150,0.80,Roulette,516000.00,20,16
80,0.150,0.80,Roulette,516000.00,22,16
81,0.150,0.80,Roulette,516000.00,8,16
82,0.150,0.80,Roulette,516000.00,22,16
83,0.150,0.80,Roulette,516000.00,18,16
84,0.150,0.80,Roulette,516000.00,12,16
85,0.150,0.80,Roulette,516000.00,22,16
