Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.120,0.80,Roulette,3000.87,0,3
2,0.120,0.80,Roulette,4000.65,0,4
3,0.120,0.80,Roulette,4000.85,0,4
4,0.120,0.80,Roulette,6000.90,0,6
5,0.120,0.80,Roulette,6000.90,0,4
6,0.120,0.80,Roulette,6000.90,0,4
7,0.120,0.80,Roulette,6000.90,0,4
8,0.120,0.80,Roulette,6000.90,0,4
9,0.120,0.80,Roulette,6000.90,0,4
10,0.120,0.80,Roulette,6000.90,0,4
11,0.120,0.80,Roulette,6000.90,0,4
12,0.120,0.80,Roulette,6000.90,0,4
13,0.120,0.80,Roulette,6000.90,0,4
14,0.120,0.80,Roulette,6000.90,0,4
15,0.120,0.80,Roulette,6000.90,0,4
16,0.120,0.80,Roulette,6000.90,0,4
17,0.120,0.80,Roulette,9000.89,0,9
18,0.120,0.80,Roulette,9000.89,0,4
19,0.120,0.80,Roulette,9000.89,0,4
20,0.120,0.80,Roulette,10000.62,0,10
21,0.120,0.80,Roulette,10000.62,0,4
22,0.120,0.80,Roulette,10000.62,0,4
23,0.120,0.80,Roulette,10000.68,0,10
24,0.120,0.80,Roulette,10000.68,0,9
25,0.120,0.80,Roulette,10000.68,0,4
26,0.120,0.80,Roulette,10000.68,0,10
27,0.120,0.80,Roulette,10000.68,0,10
28,0.120,0.80,Roulette,10000.68,0,9
29,0.120,0.80,Roulette,10000.68,0,9
30,0.120,0.80,Roulette,10000.73,0,10
31,0.120,0.80,Roulette,10000.73,0,9
32,0.120,0.80,Roulette,10000.73,0,10
33,0.120,0.80,Roulette,10000.73,0,9
34,0.120,0.80,Roulette,10000.73,0,9
35,0.120,0.80,Roulette,10000.73,0,10
36,0.120,0.80,Roulette,10000.73,0,9
37,0.120,0.80,Roulette,10000.73,0,10
38,0.120,0.80,Roulette,10000.77,0,10
39,0.120,0.80,Roulette,10000.77,0,10
40,0.120,0.80,Roulette,10000.77,0,10
41,0.120,0.80,Roulette,10000.77,0,10
42,0.120,0.80,Roulette,10000.77,0,10
43,0.120,0.80,Roulette,10000.77,0,10
44,0.120,0.80,Roulette,10000.77,0,10
45,0.120,0.80,Roulette,10000.77,0,10
46,0.120,0.80,Roulette,10000.77,0,10
47,0.120,0.80,Roulette,516000.00,1,16
48,0.120,0.80,Roulette,516000.00,0,10
49,0.120,0.80,Roulette,516000.00,0,9
50,0.120,0.80,Roulette,516000.00,3,16
51,0.120,0.80,Roulette,516000.00,2,16
52,0.120,0.80,Roulette,516000.00,3,16
53,0.120,0.80,Roulette,516000.00,2,16
54,0.120,0.80,Roulette,516000.00,14,16
55,0.120,0.80,Roulette,516000.00,3,16
56,0.120,0.80,Roulette,516000.00,20,16
57,0.120,0.80,Roulette,516000.00,35,16
58,0.120,0.80,Roulette,516000.00,9,16
59,0.120,0.80,Roulette,516000.00,21,16
60,0.120,0.80,Roulette,516000.00,35,16
61,0.120,0.80,Roulette,516000.00,14,16
62,0.120,0.80,Roulette,516000.00,24,16
63,0.120,0.80,Roulette,516000.00,33,16
64,0.120,0.80,Roulette,516000.00,18,16
65,0.120,0.80,Roulette,516000.00,20,16
66,0.120,0.80,Roulette,516000.00,33,16
67,0.120,0.80,Roulette,516000.00,19,16
68,0.120,0.80,Roulette,516000.00,24,16
69,0.120,0.80,Roulette,516000.00,31,16
70,0.120,0.80,Roulette,516000.00,21,16
71,0.120,0.80,Roulette,516000.00,21,16
72,0.120,0.80,Roulette,516000.00,36,16
73,0.120,0.80,Roulette,516000.00,17,16
74,0.120,0.80,Roulette,516000.00,25,16
75,0.120,0.80,Roulette,516000.00,28,16
76,0.120,0.80,Roulette,516000.00,19,16
77,0.120,0.80,Roulette,516000.00,16,16
78,0.120,0.80,Roulette,516000.00,32,16
79,0.120,0.80,Roulette,516000.00,20,16
80,0.120,0.80,Roulette,516000.00,26,16
81,0.120,0.80,Roulette,516000.00,29,16
82,0.120,0.80,Roulette,516000.00,22,16
83,0.120,0.80,Roulette,516000.00,22,16
84,0.120,0.80,Roulette,516000.00,31,16
85,0.120,0.80,Roulette,516000.00,21,16
86,0.120,0.80,Roulette,516000.00,16,16
87,0.120,0.80,Roulette,516000.00,27,16
88,0.120,0.80,Roulette,516000.00,30,16
89,0.120,0.80,Roulette,516000.00,21,16
90,0.120,0.80,Roulette,516000.00,28,16
91,0.120,0.80,Roulette,516000.00,22,16
92,0.120,0.80,Roulette,516000.00,22,16
93,0.120,0.80,Roulette,516000.00,29,16
94,0.120,0.80,Roulette,516000.00,28,16
95,0.120,0.80,Roulette,516000.00,23,16
96,0.120,0.80,Roulette,516000.00,26,16
97,0.120,0.80,Roulette,516000.00,29,16
