Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.020,0.90,Tournament,3000.87,0,3
2,0.020,0.90,Tournament,3000.90,0,3
3,0.020,0.90,Tournament,4000.79,0,4
4,0.020,0.90,Tournament,4000.79,0,4
5,0.020,0.90,Tournament,4000.79,0,4
6,0.020,0.90,Tournament,4000.85,0,4
7,0.020,0.90,Tournament,4000.85,0,4
8,0.020,0.90,Tournament,4000.85,0,4
9,0.020,0.90,Tournament,4000.89,0,4
10,0.020,0.90,Tournament,4000.89,0,4
11,0.020,0.90,Tournament,4000.89,0,4
12,0.020,0.90,Tournament,4000.89,0,4
13,0.020,0.90,Tournament,4000.89,0,4
14,0.020,0.90,Tournament,4000.89,0,4
15,0.020,0.90,Tournament,4000.89,0,4
16,0.020,0.90,Tournament,4000.89,0,4
17,0.020,0.90,Tournament,4000.89,0,4
18,0.020,0.90,Tournament,4000.89,0,4
19,0.020,0.90,Tournament,4000.89,0,4
20,0.020,0.90,Tournament,4000.89,0,4
21,0.020,0.90,Tournament,4000.89,0,4
22,0.020,0.90,Tournament,4000.89,0,4
23,0.020,0.90,Tournament,4000.89,0,4
24,0.020,0.90,Tournament,4000.89,0,4
25,0.020,0.90,Tournament,4000.89,0,4
26,0.020,0.90,Tournament,4000.89,0,4
27,0.020,0.90,Tournament,4000.89,0,4
28,0.020,0.90,Tournament,4000.89,0,4
29,0.020,0.90,Tournament,4000.89,0,4
30,0.020,0.90,Tournament,4000.89,0,4
31,0.020,0.90,Tournament,4000.89,0,4
32,0.020,0.90,Tournament,4000.89,0,4
33,0.020,0.90,Tournament,4000.89,0,4
34,0.020,0.90,Tournament,4000.89,0,4
35,0.020,0.90,Tournament,4000.89,0,4
36,0.020,0.90,Tournament,4000.89,0,4
37,0.020,0.90,Tournament,4000.89,0,4
38,0.020,0.90,Tournament,4000.89,0,4
39,0.020,0.90,Tournament,4000.89,0,4
40,0.020,0.90,Tournament,4000.89,0,4
41,0.020,0.90,Tournament,4000.90,0,4
42,0.020,0.90,Tournament,4000.90,0,4
43,0.020,0.90,Tournament,4000.90,0,4
44,0.020,0.90,Tournament,4000.90,0,4
45,0.020,0.90,Tournament,4000.90,0,4
46,0.020,0.90,Tournament,4000.90,0,4
47,0.020,0.90,Tournament,4000.90,0,4
48,0.020,0.90,Tournament,5000.71,0,5
49,0.020,0.90,Tournament,5000.71,0,4
50,0.020,0.90,Tournament,5000.71,0,4
51,0.020,0.90,Tournament,5000.71,0,4
52,0.020,0.90,Tournament,9000.85,0,9
53,0.020,0.90,Tournament,9000.85,0,4
54,0.020,0.90,Tournament,9000.85,0,4
55,0.020,0.90,Tournament,9000.85,0,4
56,0.020,0.90,Tournament,9000.85,0,4
57,0.020,0.90,Tournament,9000.85,0,4
58,0.020,0.90,Tournament,9000.85,0,4
59,0.020,0.90,Tournament,9000.85,0,4
60,0.020,0.90,Tournament,9000.85,0,8
61,0.020,0.90,Tournament,9000.85,0,4
62,0.020,0.90,Tournament,9000.85,0,4
63,0.020,0.90,Tournament,9000.85,0,9
64,0.020,0.90,Tournament,9000.85,0,4
65,0.020,0.90,Tournament,9000.85,0,5
66,0.020,0.90,Tournament,9000.86,0,9
67,0.020,0.90,Tournament,9000.86,0,9
68,0.020,0.90,Tournament,9000.86,0,4
69,0.020,0.90,Tournament,9000.86,0,9
70,0.020,0.90,Tournament,9000.86,0,9
71,0.020,0.90,Tournament,9000.86,0,4
72,0.020,0.90,Tournament,9000.86,0,9
73,0.020,0.90,Tournament,9000.86,0,9
74,0.020,0.90,Tournament,9000.86,0,4
75,0.020,0.90,Tournament,9000.86,0,9
76,0.020,0.90,Tournament,9000.86,0,9
77,0.020,0.90,Tournament,9000.86,0,5
78,0.020,0.90,Tournament,9000.86,0,9
79,0.020,0.90,Tournament,9000.86,0,9
80,0.020,0.90,Tournament,9000.86,0,4
81,0.020,0.90,Tournament,9000.89,0,9
82,0.020,0.90,Tournament,9000.90,0,9
83,0.020,0.90,Tournament,9000.90,0,4
84,0.020,0.90,Tournament,9000.90,0,9
85,0.020,0.90,Tournament,10000.60,0,10
86,0.020,0.90,Tournament,10000.60,0,4
87,0.020,0.90,Tournament,10000.60,0,9
88,0.020,0.90,Tournament,10000.60,0,10
89,0.020,0.90,Tournament,10000.60,0,9
90,0.020,0.90,Tournament,10000.60,0,9
91,0.020,0.90,Tournament,10000.78,0,10
92,0.020,0.90,Tournament,10000.78,0,10
93,0.020,0.90,Tournament,10000.78,0,9
94,0.020,0.90,Tournament,10000.81,0,10
95,0.020,0.90,Tournament,10000.81,0,4
96,0.020,0.90,Tournament,10000.81,0,9
97,0.020,0.90,Tournament,516000.00,6,16
98,0.020,0.90,Tournament,516000.00,0,4
99,0.020,0.90,Tournament,516000.00,0,9
100,0.020,0.90,Tournament,516000.00,17,16
101,0.020,0.90,Tournament,516000.00,0,4
102,0.020,0.90,Tournament,516000.00,0,9
103,0.020,0.90,Tournament,516000.00,14,16
104,0.020,0.90,Tournament,516000.00,0,4
105,0.020,0.90,Tournament,516000.00,0,9
106,0.020,0.90,Tournament,516000.00,23,16
107,0.020,0.90,Tournament,516000.00,0,4
108,0.020,0.90,Tournament,516000.00,0,9
109,0.020,0.90,Tournament,516000.00,21,16
110,0.020,0.90,Tournament,516000.00,0,4
111,0.020,0.90,Tournament,516000.00,0,10
112,0.020,0.90,Tournament,516000.00,17,16
