Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.050,0.85,Tournament,3000.87,0,3
2,0.050,0.85,Tournament,4000.76,0,4
3,0.050,0.85,Tournament,4000.77,0,4
4,0.050,0.85,Tournament,4000.85,0,4
5,0.050,0.85,Tournament,4000.86,0,4
6,0.050,0.85,Tournament,4000.86,0,4
7,0.050,0.85,Tournament,4000.86,0,4
8,0.050,0.85,Tournament,4000.86,0,4
9,0.050,0.85,Tournament,4000.86,0,4
10,0.050,0.85,Tournament,4000.86,0,4
11,0.050,0.85,Tournament,4000.86,0,4
12,0.050,0.85,Tournament,4000.86,0,4
13,0.050,0.85,Tournament,4000.86,0,4
14,0.050,0.85,Tournament,4000.86,0,4
15,0.050,0.85,Tournament,4000.86,0,4
16,0.050,0.85,Tournament,4000.87,0,4
17,0.050,0.85,Tournament,4000.87,0,4
18,0.050,0.85,Tournament,4000.87,0,4
19,0.050,0.85,Tournament,4000.87,0,4
20,0.050,0.85,Tournament,4000.87,0,4
21,0.050,0.85,Tournament,4000.87,0,4
22,0.050,0.85,Tournament,4000.87,0,4
23,0.050,0.85,Tournament,4000.87,0,4
24,0.050,0.85,Tournament,4000.87,0,4
25,0.050,0.85,Tournament,4000.87,0,4
26,0.050,0.85,Tournament,4000.87,0,4
27,0.050,0.85,Tournament,4000.87,0,4
28,0.050,0.85,Tournament,4000.87,0,4
29,0.050,0.85,Tournament,4000.87,0,4
30,0.050,0.85,Tournament,4000.87,0,4
31,0.050,0.85,Tournament,9000.80,0,9
32,0.050,0.85,Tournament,9000.80,0,4
33,0.050,0.85,Tournament,9000.80,0,4
34,0.050,0.85,Tournament,9000.80,0,4
35,0.050,0.85,Tournament,9000.80,0,4
36,0.050,0.85,Tournament,9000.81,0,9
37,0.050,0.85,Tournament,9000.81,0,4
38,0.050,0.85,Tournament,9000.81,0,4
39,0.050,0.85,Tournament,9000.81,0,8
40,0.050,0.85,Tournament,9000.81,0,8
41,0.050,0.85,Tournament,9000.81,0,9
42,0.050,0.85,Tournament,9000.84,0,9
43,0.050,0.85,Tournament,9000.84,0,4
44,0.050,0.85,Tournament,9000.84,0,8
45,0.050,0.85,Tournament,9000.84,0,9
46,0.050,0.85,Tournament,9000.84,0,5
47,0.050,0.85,Tournament,9000.84,0,9
48,0.050,0.85,Tournament,9000.84,0,9
49,0.050,0.85,Tournament,9000.84,0,5
50,0.050,0.85,Tournament,9000.84,0,9
51,0.050,0.85,Tournament,9000.84,0,9
52,0.050,0.85,Tournament,9000.84,0,5
53,0.050,0.85,Tournament,9000.84,0,9
54,0.050,0.85,Tournament,9000.89,0,9
55,0.050,0.85,Tournament,9000.89,0,9
56,0.050,0.85,Tournament,10000.63,0,10
57,0.050,0.85,Tournament,10000.63,0,9
58,0.050,0.85,Tournament,10000.63,0,8
59,0.050,0.85,Tournament,10000.63,0,9
60,0.050,0.85,Tournament,10000.63,0,9
61,0.050,0.85,Tournament,10000.75,0,10
62,0.050,0.85,Tournament,10000.75,0,9
63,0.050,0.85,Tournament,516000.00,1,16
64,0.050,0.85,Tournament,516000.00,0,10
65,0.050,0.85,Tournament,516000.00,0,9
66,0.050,0.85,Tournament,516000.00,1,16
67,0.050,0.85,Tournament,516000.00,0,10
68,0.050,0.85,Tournament,516000.00,0,9
69,0.050,0.85,Tournament,516000.00,2,16
70,0.050,0.85,Tournament,516000.00,0,10
71,0.050,0.85,Tournament,516000.00,0,9
72,0.050,0.85,Tournament,516000.00,0,10
73,0.050,0.85,Tournament,516000.00,0,10
74,0.050,0.85,Tournament,516000.00,0,10
75,0.050,0.85,Tournament,516000.00,0,10
76,0.050,0.85,Tournament,516000.00,0,10
77,0.050,0.85,Tournament,516000.00,0,10
78,0.050,0.85,Tournament,516000.00,0,10
79,0.050,0.85,Tournament,516000.00,0,10
80,0.050,0.85,Tournament,516000.00,1,16
81,0.050,0.85,Tournament,516000.00,1,16
82,0.050,0.85,Tournament,516000.00,5,16
83,0.050,0.85,Tournament,516000.00,9,16
84,0.050,0.85,Tournament,516000.00,0,10
85,0.050,0.85,Tournament,516000.00,10,16
86,0.050,0.85,Tournament,516000.00,19,16
87,0.050,0.85,Tournament,516000.00,1,16
88,0.050,0.85,Tournament,516000.00,15,16
89,0.050,0.85,Tournament,516000.00,25,16
90,0.050,0.85,Tournament,516000.00,2,16
91,0.050,0.85,Tournament,516000.00,21,16
92,0.050,0.85,Tournament,516000.00,32,16
93,0.050,0.85,Tournament,516000.00,5,16
94,0.050,0.85,Tournament,516000.00,31,16
95,0.050,0.85,Tournament,516000.00,29,16
96,0.050,0.85,Tournament,516000.00,14,16
97,0.050,0.85,Tournament,516000.00,22,16
98,0.050,0.85,Tournament,516000.00,26,16
99,0.050,0.85,Tournament,516000.00,11,16
100,0.050,0.85,Tournament,516000.00,20,16
101,0.050,0.85,Tournament,516000.00,18,16
102,0.050,0.85,Tournament,516000.00,12,16
103,0.050,0.85,Tournament,516000.00,28,16
104,0.050,0.85,Tournament,516000.00,21,16
105,0.050,0.85,Tournament,516000.00,19,16
106,0.050,0.85,Tournament,516000.00,28,16
107,0.050,0.85,Tournament,516000.00,29,16
108,0.050,0.85,Tournament,516000.00,24,16
109,0.050,0.85,Tournament,516000.00,29,16
110,0.050,0.85,Tournament,516000.00,25,16
111,0.050,0.85,Tournament,516000.00,19,16
112,0.050,0.85,Tournament,516000.00,27,16
113,0.050,0.85,Tournament,516000.00,24,16
